Experiment: 90_10, bias=0, data= 1 
fair_disc for iter 9 is: l2:0.32413774849591337, l1:0.4584, kl:0.1090942649039783, ce:0.11794380650087788 
fair_disc_exp for iter 9 is: l2:0.22697794437408447, l1:0.22697794437408447, kl:0.2720991574950809, ce:0.1153811980458973 


Experiment: 90_10_1.0, bias=N.A, data=0 
fair_disc for iter 0 is: l2:0.4137988883503676, l1:0.5851999999999999, kl:0.1826557518932506, ce:0.209624110146311 
fair_disc_exp for iter 0 is: l2:0.2886921167373657, l1:0.2886921167373657, kl:0.3594605715987536, ce:0.20275673460690957 
fair_disc for iter 1 is: l2:0.4033337079888067, l1:0.5704, kl:0.17289992375003457, ce:0.196785185903684 
fair_disc_exp for iter 1 is: l2:0.28190821409225464, l1:0.28190821409225464, kl:0.3496140431639175, ce:0.19127439897983056 
fair_disc for iter 2 is: l2:0.41931432124362267, l1:0.593, kl:0.18793084209878463, ce:0.21666153130581534 
fair_disc_exp for iter 2 is: l2:0.2934475541114807, l1:0.2934475541114807, kl:0.3663976872250692, ce:0.21113044959037286 
fair_disc for iter 3 is: l2:0.41719300090006306, l1:0.5900000000000001, kl:0.1858909284513758, ce:0.21393205152582173 
fair_disc_exp for iter 3 is: l2:0.2921397089958191, l1:0.2921397089958191, kl:0.36448698792003487, ce:0.20879998993604165 
fair_disc for iter 4 is: l2:0.4128089388567065, l1:0.5838000000000001, kl:0.18171877248950355, ce:0.20838117111421395 
fair_disc_exp for iter 4 is: l2:0.2884584665298462, l1:0.2884584665298462, kl:0.359120465271607, ce:0.20235127401082498 
fair_disc for iter 5 is: l2:0.4186072144624362, l1:0.5920000000000001, kl:0.1872493322541573, ce:0.21574850857789207 
fair_disc_exp for iter 5 is: l2:0.29118669033050537, l1:0.29118669033050537, kl:0.36309602930192997, ce:0.20710938614337426 
fair_disc for iter 6 is: l2:0.407576348675926, l1:0.5764, kl:0.1768153887271877, ce:0.20191094945808707 
fair_disc_exp for iter 6 is: l2:0.28490549325942993, l1:0.28490549325942993, kl:0.353957233405039, ce:0.19628020566432458 
fair_disc for iter 7 is: l2:0.4113947252943334, l1:0.5818000000000001, kl:0.18038538661209705, ce:0.206616026442212 
fair_disc_exp for iter 7 is: l2:0.2865254878997803, l1:0.2865254878997803, kl:0.35630943604978366, ce:0.19902973067491037 
fair_disc for iter 8 is: l2:0.40701066325097673, l1:0.5755999999999999, kl:0.17629022394607466, ce:0.2012213600638476 
fair_disc_exp for iter 8 is: l2:0.2855491638183594, l1:0.2855491638183594, kl:0.35489143647774757, ce:0.19736629914967996 
fair_disc for iter 9 is: l2:0.41549594462521533, l1:0.5875999999999999, kl:0.1842689413672022, ce:0.2117690424562796 
fair_disc_exp for iter 9 is: l2:0.2906193137168884, l1:0.2906193137168884, kl:0.3622684775808492, ce:0.20611474853484613 


Experiment: 90_10_0.5, bias=N.A, data=0 
fair_disc for iter 0 is: l2:0.4283652880428105, l1:0.6057999999999999, kl:0.19679138794324638, ce:0.22863740474753547 
fair_disc_exp for iter 0 is: l2:0.2982634902000427, l1:0.2982634902000427, kl:0.37345210853439936, ce:0.21989782345025521 
fair_disc for iter 1 is: l2:0.42214274836836885, l1:0.597, kl:0.19067233359980695, ce:0.22034592390128938 
fair_disc_exp for iter 1 is: l2:0.2936113476753235, l1:0.2936113476753235, kl:0.3666371337292516, ce:0.2114229593846081 
fair_disc for iter 2 is: l2:0.42242559108084343, l1:0.5973999999999999, kl:0.1909478470503711, ce:0.22071722913764724 
fair_disc_exp for iter 2 is: l2:0.2945178151130676, l1:0.2945178151130676, kl:0.3679629009549787, ce:0.21305266213147622 
fair_disc for iter 3 is: l2:0.4375576761982356, l1:0.6188, kl:0.20605537844272445, ce:0.24137298659125828 
fair_disc_exp for iter 3 is: l2:0.3032781481742859, l1:0.3032781481742859, kl:0.3808285017588267, ce:0.2293522451493023 
fair_disc for iter 4 is: l2:0.4415174741728803, l1:0.6244000000000001, kl:0.21013000952583072, ce:0.24704600740901184 
fair_disc_exp for iter 4 is: l2:0.3045138120651245, l1:0.3045138120651245, kl:0.38265093905275926, ce:0.23172885369985086 
fair_disc for iter 5 is: l2:0.4371334121295237, l1:0.6182000000000001, kl:0.20562183514673085, ce:0.2407719736494438 
fair_disc_exp for iter 5 is: l2:0.30444568395614624, l1:0.30444568395614624, kl:0.3825504001757437, ce:0.23160603832929116 
fair_disc for iter 6 is: l2:0.4251125968493523, l1:0.6012, kl:0.19357765948355282, ce:0.22427094637908618 
fair_disc_exp for iter 6 is: l2:0.2956494688987732, l1:0.2956494688987732, kl:0.36961945993040535, ce:0.21510314386813623 
fair_disc for iter 7 is: l2:0.43303219279864175, l1:0.6124, kl:0.20146085395319746, ce:0.2350288233523261 
fair_disc_exp for iter 7 is: l2:0.2996407747268677, l1:0.2996407747268677, kl:0.3754749216672375, ce:0.2224639896723507 
fair_disc for iter 8 is: l2:0.42723391719291204, l1:0.6042000000000001, kl:0.19566979281292052, ce:0.22711052793149233 
fair_disc_exp for iter 8 is: l2:0.2973780632019043, l1:0.2973780632019043, kl:0.3721529534507284, ce:0.2182637397619961 
fair_disc for iter 9 is: l2:0.4334564568673536, l1:0.613, kl:0.20188879362710666, ce:0.23561739340464172 
fair_disc_exp for iter 9 is: l2:0.30055493116378784, l1:0.30055493116378784, kl:0.3768188511245584, ce:0.2241758648726223 
Experiment: 90_10_1.0, bias=N.A, data=0 
